ID,Sample_Size
200,3
212,3
279,4
277,4
199,4
201,4
202,4
206,4
207,4
211,4
187,5
186,5
185,5
205,5
181,5
209,5
180,5
191,5
233,5
278,5
179,5
189,6
188,6
124,6
130,6
136,6
140,6
190,6
168,6
169,6
170,6
173,6
174,6
175,6
166,6
160,6
192,6
100,6
193,6
270,6
197,6
214,6
213,6
208,6
269,6
167,7
165,7
271,7
154,7
272,7
273,7
274,7
275,7
276,7
118,7
112,7
149,7
268,7
106,7
247,7
217,7
176,7
177,7
178,7
182,7
183,7
184,7
204,7
203,7
198,7
196,7
195,7
194,7
267,7
244,7
142,7
210,8
158,8
94,8
243,8
242,8
248,8
157,8
152,8
134,8
237,8
234,8
232,8
122,8
249,8
145,9
128,9
146,9
139,9
159,9
116,9
163,9
239,9
171,9
172,9
238,9
227,9
221,9
151,9
110,9
141,9
98,9
97,9
93,9
104,9
255,9
261,9
129,10
99,10
153,10
135,10
105,10
133,10
164,10
150,10
236,10
147,10
218,10
250,10
123,10
113,10
266,10
228,10
162,11
109,11
223,11
96,11
161,11
111,11
117,11
119,11
231,11
126,11
226,12
265,12
44,12
263,12
51,12
156,12
115,12
121,12
108,12
132,12
138,12
103,12
127,12
144,12
114,13
52,13
125,13
50,13
260,13
62,13
107,13
254,13
155,13
120,13
131,13
143,13
220,13
102,13
216,13
101,13
264,13
54,14
48,14
222,14
69,14
53,14
148,14
246,14
95,14
137,14
61,14
66,14
257,14
235,14
76,15
70,15
84,15
46,15
47,15
49,15
73,15
60,15
83,15
259,15
64,15
229,16
251,16
224,16
253,16
80,16
56,16
57,16
59,16
63,16
65,16
67,16
77,16
68,16
75,16
74,16
55,16
45,17
230,17
58,17
225,17
71,17
241,17
258,17
87,17
86,17
85,17
82,17
81,17
72,17
219,17
252,18
245,18
78,18
79,18
215,19
240,19
262,19
256,20
30,21
42,21
39,21
22,21
40,22
26,22
43,23
29,23
28,23
27,23
33,23
32,23
38,23
37,23
36,23
31,25
35,25
24,26
25,26
6,28
2,28
7,28
1,28
9,28
10,28
11,28
12,28
5,28
8,28
15,28
17,28
23,28
21,28
19,28
18,28
13,28
0,28
3,30
41,32
34,32
89,54
92,57
90,63
91,66
